Time,Mean SVM (g)
2023-05-09 10:11:26,0.006817
2023-05-09 10:11:31,0.016810
2023-05-09 10:11:36,0.001272
2023-05-09 10:11:41,0.000513
2023-05-09 10:11:46,0.000149
2023-05-09 10:11:51,0.000000
2023-05-09 10:11:56,0.007459
2023-05-09 10:12:01,0.001084
2023-05-09 10:12:06,0.000000
2023-05-09 10:12:11,0.000000
2023-05-09 10:12:16,0.000000
2023-05-09 10:12:21,0.000000
2023-05-09 10:12:26,0.000008
2023-05-09 10:12:31,0.000434
2023-05-09 10:12:36,0.008799
2023-05-09 10:12:41,0.160796
2023-05-09 10:12:46,0.226219
2023-05-09 10:12:51,0.069059
2023-05-09 10:12:56,0.124234
2023-05-09 10:13:01,0.242462
2023-05-09 10:13:06,0.043556
2023-05-09 10:13:11,0.003629
2023-05-09 10:13:16,0.023280
2023-05-09 10:13:21,0.077590
2023-05-09 10:13:26,0.056904
2023-05-09 10:13:31,0.036343
2023-05-09 10:13:36,0.144401
2023-05-09 10:13:41,0.138527
2023-05-09 10:13:46,0.039111
2023-05-09 10:13:51,0.056199
2023-05-09 10:13:56,0.059878
2023-05-09 10:14:01,0.080641
2023-05-09 10:14:06,0.047457
2023-05-09 10:14:11,0.049492
2023-05-09 10:14:16,0.023855
2023-05-09 10:14:21,0.060341
2023-05-09 10:14:26,0.139413
2023-05-09 10:14:31,0.095002
2023-05-09 10:14:36,0.262175
2023-05-09 10:14:41,0.299843
2023-05-09 10:14:46,0.318496
2023-05-09 10:14:51,0.326602
2023-05-09 10:14:56,0.266975
2023-05-09 10:15:01,0.316833
2023-05-09 10:15:06,0.317540
2023-05-09 10:15:11,0.306511
2023-05-09 10:15:16,0.304790
2023-05-09 10:15:21,0.313281
2023-05-09 10:15:26,0.260159
2023-05-09 10:15:31,0.288064
2023-05-09 10:15:36,0.258876
2023-05-09 10:15:41,0.266662
2023-05-09 10:15:46,0.257534
2023-05-09 10:15:51,0.298017
2023-05-09 10:15:56,0.267545
2023-05-09 10:16:01,0.276121
2023-05-09 10:16:06,0.275457
2023-05-09 10:16:11,0.271753
2023-05-09 10:16:16,0.286057
2023-05-09 10:16:21,0.300268
2023-05-09 10:16:26,0.295230
2023-05-09 10:16:31,0.295185
2023-05-09 10:16:36,0.259163
2023-05-09 10:16:41,0.254137
2023-05-09 10:16:46,0.269208
2023-05-09 10:16:51,0.247946
2023-05-09 10:16:56,0.272184
2023-05-09 10:17:01,0.283122
2023-05-09 10:17:06,0.324351
2023-05-09 10:17:11,0.325070
2023-05-09 10:17:16,0.331176
2023-05-09 10:17:21,0.357435
2023-05-09 10:17:26,0.073453
2023-05-09 10:17:31,0.051431
2023-05-09 10:17:36,0.101890
2023-05-09 10:17:41,0.082067
2023-05-09 10:17:46,0.007480
2023-05-09 10:17:51,0.035870
2023-05-09 10:17:56,0.006949
2023-05-09 10:18:01,0.009793
2023-05-09 10:18:06,0.001296
2023-05-09 10:18:11,0.053606
2023-05-09 10:18:16,0.000000
2023-05-09 10:18:21,0.030732
2023-05-09 10:18:26,0.002186
2023-05-09 10:18:31,0.005487
2023-05-09 10:18:36,0.002019
2023-05-09 10:18:41,0.000946
2023-05-09 10:18:46,0.001326
2023-05-09 10:18:51,0.003053
2023-05-09 10:18:56,0.000000
2023-05-09 10:19:01,0.000000
2023-05-09 10:19:06,0.000676
2023-05-09 10:19:11,0.000641
2023-05-09 10:19:16,0.000000
2023-05-09 10:19:21,0.000000
2023-05-09 10:19:26,0.024712
2023-05-09 10:19:31,0.026166
2023-05-09 10:19:36,0.002640
2023-05-09 10:19:41,0.000514
2023-05-09 10:19:46,0.004553
2023-05-09 10:19:51,0.004788
2023-05-09 10:19:56,0.000183
2023-05-09 10:20:01,0.019257
2023-05-09 10:20:06,0.012167
2023-05-09 10:20:11,0.000000
2023-05-09 10:20:16,0.000421
2023-05-09 10:20:21,0.000000
2023-05-09 10:20:26,0.013301
2023-05-09 10:20:31,0.009621
2023-05-09 10:20:36,0.015907
2023-05-09 10:20:41,0.000626
2023-05-09 10:20:46,0.000000
2023-05-09 10:20:51,0.000000
2023-05-09 10:20:56,0.103080
2023-05-09 10:21:01,0.419632
2023-05-09 10:21:06,0.033664
2023-05-09 10:21:11,0.247827
2023-05-09 10:21:16,0.820360
2023-05-09 10:21:21,0.782298
2023-05-09 10:21:26,0.888200
2023-05-09 10:21:31,0.930747
2023-05-09 10:21:36,1.041258
2023-05-09 10:21:41,1.140086
2023-05-09 10:21:46,1.245632
2023-05-09 10:21:51,1.305179
2023-05-09 10:21:56,1.236958
2023-05-09 10:22:01,1.303751
2023-05-09 10:22:06,1.312875
2023-05-09 10:22:11,1.352606
2023-05-09 10:22:16,1.296294
2023-05-09 10:22:21,1.384959
2023-05-09 10:22:26,1.281932
2023-05-09 10:22:31,1.328122
2023-05-09 10:22:36,1.404183
2023-05-09 10:22:41,1.385510
2023-05-09 10:22:46,1.351812
2023-05-09 10:22:51,1.396096
2023-05-09 10:22:56,1.352130
2023-05-09 10:23:01,1.385331
2023-05-09 10:23:06,1.410437
2023-05-09 10:23:11,1.392755
2023-05-09 10:23:16,1.372089
2023-05-09 10:23:21,1.338569
2023-05-09 10:23:26,1.359829
2023-05-09 10:23:31,1.354412
2023-05-09 10:23:36,1.346432
2023-05-09 10:23:41,1.350646
2023-05-09 10:23:46,1.341445
2023-05-09 10:23:51,1.329194
2023-05-09 10:23:56,1.365400
2023-05-09 10:24:01,1.407749
2023-05-09 10:24:06,1.296126
2023-05-09 10:24:11,1.265211
2023-05-09 10:24:16,1.376735
2023-05-09 10:24:21,1.387604
2023-05-09 10:24:26,1.414528
2023-05-09 10:24:31,1.406357
2023-05-09 10:24:36,1.437747
2023-05-09 10:24:41,1.441278
2023-05-09 10:24:46,1.415869
2023-05-09 10:24:51,1.464261
2023-05-09 10:24:56,1.333560
2023-05-09 10:25:01,1.371812
2023-05-09 10:25:06,1.368620
2023-05-09 10:25:11,1.348286
2023-05-09 10:25:16,1.373878
2023-05-09 10:25:21,1.338300
2023-05-09 10:25:26,1.337774
2023-05-09 10:25:31,1.321095
2023-05-09 10:25:36,1.411661
2023-05-09 10:25:41,1.382060
2023-05-09 10:25:46,1.436769
2023-05-09 10:25:51,1.371814
2023-05-09 10:25:56,1.155333
2023-05-09 10:26:01,0.696522
2023-05-09 10:26:06,0.651605
2023-05-09 10:26:11,0.762001
2023-05-09 10:26:16,0.917115
2023-05-09 10:26:21,0.948230
2023-05-09 10:26:26,0.885370
2023-05-09 10:26:31,0.792599
2023-05-09 10:26:36,0.809513
2023-05-09 10:26:41,0.860348
2023-05-09 10:26:46,0.733555
2023-05-09 10:26:51,0.774135
2023-05-09 10:26:56,0.874777
2023-05-09 10:27:01,1.101077
2023-05-09 10:27:06,0.942070
2023-05-09 10:27:11,0.885477
2023-05-09 10:27:16,0.873707
2023-05-09 10:27:21,0.864576
2023-05-09 10:27:26,0.729054
2023-05-09 10:27:31,0.841646
2023-05-09 10:27:36,0.779749
2023-05-09 10:27:41,0.812230
2023-05-09 10:27:46,0.802137
2023-05-09 10:27:51,0.874063
2023-05-09 10:27:56,0.889726
2023-05-09 10:28:01,0.925516
2023-05-09 10:28:06,0.609771
2023-05-09 10:28:11,0.466402
2023-05-09 10:28:16,0.466222
2023-05-09 10:28:21,0.558526
2023-05-09 10:28:26,0.365112
2023-05-09 10:28:31,0.176516
2023-05-09 10:28:36,0.518700
2023-05-09 10:28:41,0.440736
2023-05-09 10:28:46,0.114930
2023-05-09 10:28:51,0.154334
2023-05-09 10:28:56,0.124386
2023-05-09 10:29:01,0.143636
2023-05-09 10:29:06,0.134444
2023-05-09 10:29:11,0.153834
2023-05-09 10:29:16,0.505689
2023-05-09 10:29:21,0.061899
2023-05-09 10:29:26,0.103802
2023-05-09 10:29:31,0.183648
2023-05-09 10:29:36,0.239154
2023-05-09 10:29:41,0.260402
2023-05-09 10:29:46,0.223647
2023-05-09 10:29:51,0.251563
2023-05-09 10:29:56,0.577658
2023-05-09 10:30:01,0.781520
2023-05-09 10:30:06,0.890400
2023-05-09 10:30:11,0.910764
2023-05-09 10:30:16,0.911584
2023-05-09 10:30:21,0.980985
2023-05-09 10:30:26,0.925265
2023-05-09 10:30:31,1.159041
2023-05-09 10:30:36,1.604635
2023-05-09 10:30:41,1.829552
2023-05-09 10:30:46,1.838997
2023-05-09 10:30:51,1.868413
2023-05-09 10:30:56,1.976497
2023-05-09 10:31:01,1.123900
2023-05-09 10:31:06,0.048424
2023-05-09 10:31:11,0.022098
2023-05-09 10:31:16,0.037043
2023-05-09 10:31:21,0.052525
2023-05-09 10:31:26,0.128097
2023-05-09 10:31:31,0.062541
2023-05-09 10:31:36,0.105068
2023-05-09 10:31:41,0.051001
2023-05-09 10:31:46,0.065752
2023-05-09 10:31:51,0.053637
2023-05-09 10:31:56,0.050949
2023-05-09 10:32:01,0.099826
2023-05-09 10:32:06,0.133061
2023-05-09 10:32:11,0.134528
2023-05-09 10:32:16,0.124148
2023-05-09 10:32:21,0.119305
2023-05-09 10:32:26,0.101517
2023-05-09 10:32:31,0.062339
2023-05-09 10:32:36,0.010965
2023-05-09 10:32:41,0.057007
2023-05-09 10:32:46,0.060578
2023-05-09 10:32:51,0.090481
2023-05-09 10:32:56,0.034558
2023-05-09 10:33:01,0.182772
2023-05-09 10:33:06,0.085741
2023-05-09 10:33:11,0.089579
2023-05-09 10:33:16,0.436669
2023-05-09 10:33:21,0.090588
2023-05-09 10:33:26,0.095155
2023-05-09 10:33:31,0.031112
2023-05-09 10:33:36,0.080646
2023-05-09 10:33:41,0.055740
2023-05-09 10:33:46,0.079857
2023-05-09 10:33:51,0.013131
2023-05-09 10:33:56,0.000000
2023-05-09 10:34:01,0.000000
2023-05-09 10:34:06,0.000000
2023-05-09 10:34:11,0.000000
2023-05-09 10:34:16,0.000000
2023-05-09 10:34:21,0.000000
2023-05-09 10:34:26,0.000000
2023-05-09 10:34:31,0.000000
2023-05-09 10:34:36,0.000000
2023-05-09 10:34:41,0.000000
2023-05-09 10:34:46,0.000000
2023-05-09 10:34:51,0.000000
2023-05-09 10:34:56,0.000000
2023-05-09 10:35:01,0.000000
2023-05-09 10:35:06,0.000000
2023-05-09 10:35:11,0.000000
2023-05-09 10:35:16,0.000000
2023-05-09 10:35:21,0.000000
2023-05-09 10:35:26,0.000000
2023-05-09 10:35:31,0.000000
2023-05-09 10:35:36,0.000000
2023-05-09 10:35:41,0.000000
2023-05-09 10:35:46,0.000000
2023-05-09 10:35:51,0.000000
2023-05-09 10:35:56,0.000000
2023-05-09 10:36:01,0.000000
2023-05-09 10:36:06,0.000000
2023-05-09 10:36:11,0.000000
2023-05-09 10:36:16,0.000000
2023-05-09 10:36:21,0.000000
2023-05-09 10:36:26,0.000000
2023-05-09 10:36:31,0.000000
2023-05-09 10:36:36,0.000840
2023-05-09 10:36:41,0.000000
2023-05-09 10:36:46,0.000000
2023-05-09 10:36:51,0.000000
2023-05-09 10:36:56,0.000000
2023-05-09 10:37:01,0.000000
2023-05-09 10:37:06,0.000000
2023-05-09 10:37:11,0.000000
2023-05-09 10:37:16,0.000000
2023-05-09 10:37:21,0.000000
2023-05-09 10:37:26,0.000000
2023-05-09 10:37:31,0.000000
2023-05-09 10:37:36,0.000000
2023-05-09 10:37:41,0.000000
2023-05-09 10:37:46,0.000000
2023-05-09 10:37:51,0.000000
2023-05-09 10:37:56,0.000000
2023-05-09 10:38:01,0.000000
2023-05-09 10:38:06,0.000000
2023-05-09 10:38:11,0.000000
2023-05-09 10:38:16,0.000000
2023-05-09 10:38:21,0.000000
2023-05-09 10:38:26,0.000000
2023-05-09 10:38:31,0.000000
2023-05-09 10:38:36,0.000000
2023-05-09 10:38:41,0.000000
2023-05-09 10:38:46,0.000000
2023-05-09 10:38:51,0.000000
2023-05-09 10:38:56,0.000000
2023-05-09 10:39:01,0.093099
2023-05-09 10:39:06,0.024406
